Arp 256 N      |00 18 50.2 -10 21 44|SB(s)c     | 4.5|SF    |0.03|14.32|0.84|-20.96| 8184|114.3
IRAS 08572+3915|09 00 25.4 +39 03 54|Pec        | ---|SF/AGN|0.03|16.37|1.16|-20.63|17477|249.2
UGC 04881      |09 15 55.0 +44 19 49|Pec        | ---|SF    |0.02|14.30|1.36|-21.88|11781|170.3
NGC 2798       |09 17 22.8 +41 59 59|SBa pec    | 1.0|SF/AGN|0.03|12.28|1.26|-19.80| 1726| 26.2
UGCA 166       |09 34 02.2 +55 14 25|Irr        | ---|SF    |0.06|15.76|0.17|-15.20|  749| 15.6
UGC 05101      |09 35 51.5 +61 21 12|Pec        | ---|AGN   |0.05|14.85|1.54|-21.33|11811|170.4
NGC 3049       |09 54 49.6 +09 16 16|SBab       | 2.0|SF    |0.06|11.91|0.85|-19.97| 1468| 23.9
NGC 3079       |10 01 57.8 +55 40 48|SB(s)c     | 7.0|SF/AGN|0.01|11.03|1.17|-20.40| 1109| 19.4
UGCA 208       |10 16 28.2 +45 19 18|Pec        | ---|AGN   |0.01|14.81|0.71|-17.55| 1648| 29.8
NGC 3190       |10 18 05.7 +21 49 57|SAa pec    | 1.0|---   |0.03|11.07|1.63|-21.03| 1271| 26.4
NGC 3198       |10 19 54.9 +45 32 58|SBc        | 5.0|SF    |0.01|11.13|1.21|-19.54|  659| 13.7
NGC 3265       |10 31 06.8 +28 47 48|E          |-5.0|SF    |0.02|13.55|1.24|-18.27| 1319| 23.2
Mrk 33         |10 32 31.9 +54 24 03|Im pec     |10.0|SF    |0.02|12.76|0.67|-19.02| 1430| 22.9
NGC 3310       |10 38 45.8 +53 30 12|SAB(r)bc   | 4.0|SF    |0.02|11.05|0.54|-20.45|  989| 20.1
NGC 3351       |10 43 57.7 +11 42 14|SBb        | 3.0|SF    |0.04|10.19|1.38|-19.65|  779|  9.3
NGC 3379       |10 47 49.6 +12 34 54|E0         |-5.0|---   |0.03|10.06|1.73|-20.05|  911| 10.6
UGCA 219       |10 49 05.0 +52 20 08|Sc         | ---|SF    |0.02|14.47|0.37|-18.54| 2398| 40.5
NGC 3521       |11 05 48.6 -00 02 09|SABbc      | 4.0|SF    |0.05| 9.18|1.47|-20.84|  809| 10.1
NGC 3627       |11 20 15.0 +12 59 30|SABb       | 3.0|SF/AGN|0.03|10.22|1.38|-19.64|  727|  9.4
IC 0691        |11 26 44.3 +59 09 20|Irr        | ---|SF    |0.01|13.90|0.78|-17.97| 1199| 23.7
NGC 3690       |11 28 31.7 +58 33 44|Pec        | 9.0|SF/AGN|0.01|12.03|0.75|-21.47| 3117| 50.6
NGC 3773       |11 38 13.0 +12 06 44|SA0        |-2.0|SF    |0.03|12.80|0.69|-17.57|  989| 11.9
Mrk 1450       |11 38 35.6 +57 52 27|Irr        | ---|SF    |0.01|15.34|0.70|-16.16|  959| 20.0
UGC 06665      |11 42 12.3 +00 20 04|Sb         | 3.0|SF    |0.04|13.85|0.60|-20.83| 5576| 87.4
NGC 3870       |11 45 56.6 +50 11 57|S0         |-2.0|SF    |0.01|13.10|0.82|-18.37|  749| 19.8
UM 461         |11 51 33.1 -02 22 22|Irr        | ---|SF    |0.03|15.35|0.85|-15.28| 1049| 13.4
UGC 06850      |11 52 37.4 -02 28 09|Irr        |99.0|SF    |0.04|14.14|0.46|-16.48| 1049| 13.4
NGC 3938       |11 52 49.4 +44 07 15|SAc        | 5.0|---   |0.01|10.97|1.17|-19.66|  809| 13.4
NGC 4088       |12 05 34.2 +50 32 21|SAB(rs)bc  | 4.0|SF    |0.02|10.79|1.14|-20.69|  749| 19.8
NGC 4125       |12 08 05.9 +65 10 28|E6 pec     |-5.0|---   |0.03|10.79|1.75|-21.09| 1356| 23.9
NGC 4138       |12 09 29.8 +43 41 07|SA(r)0     |-1.0|SF/AGN|0.01|11.54|1.44|-19.16|  899| 13.8
NGC 4168       |12 12 17.3 +13 12 19|E          |-5.0|---   |0.03|11.45|1.67|-20.99| 2215| 30.9
NGC 4194       |12 14 09.6 +54 31 36|Pec        |10.0|SF/AGN|0.02|12.82|0.97|-20.26| 2428| 41.5
Haro 06        |12 15 18.4 +05 45 39|Irr        |-5.0|SF    |0.03|14.77|0.55|-15.89| 2008| 13.7
NGC 4254       |12 18 49.6 +14 25 00|SAc        | 5.0|SF    |0.04|10.49|1.07|-20.58| 2398| 16.5
NGC 4321       |12 22 54.8 +15 49 19|SABbc      | 4.0|SF    |0.03|10.32|1.15|-20.45| 1558| 14.3
NGC 4365       |12 24 28.3 +07 19 04|E          |-5.0|---   |0.03|10.40|1.75|-21.41| 1243| 23.1
NGC 4387       |12 25 41.7 +12 48 38|E          |-5.0|---   |0.02|12.62|1.65|-18.65|  472| 18.0
NGC 4385       |12 25 42.8 +00 34 22|SB(rs)0    |-1.0|SF/AGN|0.03|11.94|1.04|-20.74| 2128| 34.7
NGC 4450       |12 28 29.6 +17 05 06|SAab       | 2.0|AGN   |0.05|10.39|1.61|-20.68| 1954| 16.5
NGC 4458       |12 28 57.6 +13 14 31|E          |-5.0|---   |0.02|12.59|1.56|-18.46| 1307| 16.3
NGC 4473       |12 29 48.9 +13 25 46|E          |-5.0|---   |0.03|10.69|1.68|-20.22| 2244| 15.3
NGC 4486       |12 30 49.4 +12 23 28|E          |-4.0|---   |0.02| 9.44|1.75|-21.67|  635| 16.7
NGC 4536       |12 34 27.0 +02 11 17|SABbc      | 4.0|SF    |0.02|11.17|1.22|-19.62| 1808| 14.4
NGC 4550       |12 35 30.6 +12 13 15|E          |-1.5|---   |0.03|12.01|1.54|-19.01|  381| 16.0
NGC 4551       |12 35 38.0 +12 15 50|E          |-5.0|---   |0.03|12.34|1.70|-18.70| 1172| 16.2
NGC 4552       |12 35 39.8 +12 33 23|E          |-5.0|---   |0.04|10.81|1.81|-20.20|  340| 15.9
NGC 4559       |12 35 57.6 +27 57 36|SABcd      | 6.0|SF    |0.02|10.92|0.97|-19.14|  807| 10.3
NGC 4569       |12 36 49.8 +13 09 47|SABab      | 2.0|AGN   |0.04| 9.72|1.43|-21.37| -235| 16.5
NGC 4579       |12 37 43.5 +11 49 05|SABb       | 3.0|AGN   |0.03|10.46|1.60|-20.62| 1517| 16.5
NGC 4594       |12 39 59.4 -11 37 23|SAa        | 1.0|---   |0.06| 9.38|1.80|-20.46| 1024|  9.3
NGC 4625       |12 41 52.7 +41 16 26|SABm pec   | 9.0|SF    |0.01|12.52|1.03|-17.29|  599|  9.2
NGC 4621       |12 42 02.2 +11 38 49|E          |-5.0|---   |0.04|10.09|1.61|-20.77|  410| 14.9
NGC 4631       |12 42 07.8 +32 32 34|SBd        | 7.0|AGN   |0.03| 9.99|0.91|-19.41|  606|  7.6
NGC 4660       |12 44 32.0 +11 11 26|E          |-5.0|---   |0.03|11.59|1.61|-19.29| 1083| 15.0
NGC 4670       |12 45 17.1 +27 07 31|SB(s)0/a   | ---|SF    |0.01|12.45|0.53|-19.37| 1079| 23.2
NGC 4676 A     |12 46 09.2 +30 43 55|Pec        |-2.0|AGN   |0.01|13.96|1.34|-21.08| 6625|101.9
NGC 4725       |12 50 26.6 +25 30 03|SABab pec  | 2.0|---   |0.02|10.80|1.65|-19.58| 1206| 11.9
NGC 4826       |12 56 43.6 +21 40 59|SAab       | 2.0|SF/AGN|0.05| 8.93|1.47|-20.44|  408|  7.5
NGC 4860       |12 59 03.9 +28 07 25|E          |-5.0|---   |0.02|13.88|1.84|-21.03| 7980| 95.1
NGC 4889       |13 00 08.1 +27 58 37|E4         |-4.0|---   |0.01|12.12|1.77|-22.75| 6495| 93.8
IC 4051        |13 00 51.5 +28 02 34|E          |-5.0|---   |0.01|14.03|1.84|-21.43| 8793|122.0
NGC 4926       |13 01 53.7 +27 37 28|E          |-3.0|---   |0.01|13.08|1.79|-22.18| 7887|111.2
NGC 5033       |13 13 27.5 +36 35 38|SAc        | 5.0|SF/AGN|0.02|11.15|1.40|-19.70|  875| 14.8
IC 0860        |13 15 03.5 +24 37 08|Sa         | ---|AGN   |0.01|14.00|1.57|-19.71| 3357| 55.6
UGC 08335 NW   |13 15 30.7 +62 07 45|Pec        | ---|SF/AGN|0.02|14.82|1.15|-20.84| 9233|136.1
UGC 08335 SE   |13 15 35.1 +62 07 29|Pec        | ---|SF/AGN|0.02|14.95|1.02|-20.73| 9323|137.3
NGC 5055       |13 15 49.3 +42 01 46|SAbc       | 4.0|---   |0.03| 9.71|1.31|-19.75|  484|  7.8
IC 0883        |13 20 35.3 +34 08 22|Pec        |10.0|SF/AGN|0.01|14.34|1.26|-20.79| 6985|106.9
NGC 5104       |13 21 23.2 +00 20 33|Sa         | 1.0|SF/AGN|0.03|13.81|1.49|-20.92| 5576| 88.3
NGC 5194       |13 29 52.7 +47 11 43|SABbc pec  | 4.0|SF/AGN|0.05| 9.88|1.13|-19.53|  449|  7.6
NGC 5195       |13 29 59.6 +47 15 58|SB0 pec    |90.0|SF/AGN|0.05|10.74|1.53|-18.67|  465|  7.6
NGC 5256       |13 38 17.4 +48 16 38|Pec        |99.0|AGN   |0.02|13.48|1.20|-22.01| 8364|125.2
NGC 5257       |13 39 52.9 +00 50 24|SAB(s)b    | 3.0|SF    |0.03|13.11|0.88|-22.00| 6805|105.8
NGC 5258       |13 39 57.7 +00 49 51|SA(s)b     | 3.0|SF    |0.03|13.09|1.18|-22.01| 6745|104.9
UGC 08696      |13 44 42.1 +55 53 13|Pec        |99.0|AGN   |0.01|14.67|1.16|-21.44|11332|165.9
Mrk 1490       |14 19 43.3 +49 14 12|Sa         | ---|SF/AGN|0.02|14.99|1.50|-20.34| 7674|115.5
NGC 5653       |14 30 10.4 +31 12 56|(R')SA(rs)b| 3.0|SF    |0.02|12.52|1.09|-21.30| 3567| 58.7
Mrk 0475       |14 39 05.5 +36 48 21|Irr        | ---|SF    |0.01|15.49|0.79|-14.75|  569| 11.2
NGC 5713       |14 40 11.4 -00 17 20|SABbc pec  | 4.0|SF    |0.04|11.30|1.06|-21.03| 1899| 29.4
UGC 09618 S    |14 57 00.3 +24 36 24|Sc         | ---|SF/AGN|0.05|14.49|1.12|-21.38|10043|150.2
UGC 09618      |14 57 00.3 +24 36 47|Pec        | ---|SF/AGN|0.05|13.85|1.24|-22.06|10103|151.0
UGC 09618 N    |14 57 00.7 +24 37 03|Sb         | ---|SF    |0.05|14.68|1.48|-21.25|10103|151.0
NGC 5866       |15 06 29.5 +55 45 46|S0         |-1.0|---   |0.02|10.64|1.63|-20.29|  672| 15.4
CGCG 049-057   |15 13 13.1 +07 13 32|Irr        | ---|SF/AGN|0.04|15.02|1.65|-18.98| 3897| 63.3
NGC 5953       |15 34 32.4 +15 11 38|Sa         | 1.0|SF/AGN|0.04|12.49|1.25|-20.19| 1978| 34.6
IC 4553        |15 34 57.2 +23 30 11|Pec        | ---|AGN   |0.05|13.59|1.58|-21.05| 5426| 85.2
UGCA 410       |15 37 04.2 +55 15 48|Irr        | ---|SF    |0.02|14.95|0.67|-15.99|  659| 15.4
NGC 5992       |15 44 21.5 +41 05 11|SBb        | ---|SF    |0.02|13.84|0.98|-21.88| 9503|141.3
NGC 6052       |16 05 12.8 +20 32 32|Pec        | 5.0|SF    |0.08|12.96|0.64|-21.38| 4706| 74.8
NGC 6090       |16 11 40.9 +52 27 27|Pec        | ---|SF    |0.02|13.89|0.74|-21.67| 8783|130.2
NGC 6240       |16 52 58.9 +02 24 05|Pec        |90.0|AGN   |0.10|13.07|1.39|-22.19| 7344|111.9
IRAS 17208-0014|17 23 22.0 -00 17 01|Pec        | ---|SF    |0.37|15.16|1.49|-21.23|12831|187.9
II Zw 096      |20 57 24.1 +17 07 46|Pec        | ---|SF    |0.10|13.49|0.63|-22.42|10822|154.5
NGC 7331       |22 37 04.0 +34 24 57|SAb        | 3.0|SF/AGN|0.11| 9.58|1.60|-21.23|  816| 14.5
UGC 12150      |22 41 12.2 +34 14 57|SB0/a      | ---|SF/AGN|0.08|14.15|1.60|-20.66| 6415| 91.3
CGCG 453-062   |23 04 56.6 +19 33 08|Sab        | ---|SF    |0.10|14.02|1.51|-21.12| 7524|106.0
IC 5298        |23 16 00.7 +25 33 24|Pec        | ---|AGN   |0.09|14.11|1.39|-21.21| 8184|115.1
NGC 7585       |23 18 01.3 -04 39 02|(R)SA(s)0  |-1.0|---   |0.08|11.39|1.65|-22.09| 3507| 50.1
NGC 7591       |23 18 16.3 +06 35 09|SBbc       | 4.0|SF    |0.12|13.26|1.22|-20.96| 4946| 69.9
NGC 7592       |23 18 22.1 -04 24 58|Pec        |-0.7|SF/AGN|0.05|13.55|0.83|-21.50| 7314|102.9
NGC 7673       |23 27 41.2 +23 35 21|(R')SAc    | 5.0|SF    |0.05|12.89|0.63|-20.53| 3417| 48.9
NGC 7674       |23 27 56.7 +08 46 44|SA(r)bc    | 4.0|---   |0.07|12.96|1.08|-22.45| 8664|121.4
NGC 7679       |23 28 46.6 +03 30 41|SB0        |-2.0|SF/AGN|0.08|12.53|0.91|-21.74| 5126| 72.3
Mrk 0930       |23 31 58.6 +28 56 50|Pec        | ---|SF    |0.15|14.57|0.46|-19.82| 5486| 77.5
NGC 7714       |23 36 14.1 +02 09 18|SB(s)b     | 3.0|SF/AGN|0.08|12.44|0.64|-20.54| 2788| 39.9
NGC 7771       |23 51 24.8 +20 06 42|SB(s)a     | 1.0|SF    |0.09|12.25|1.39|-21.65| 4287| 60.5
Mrk 0331       |23 51 26.7 +20 35 10|Sa         | ---|SF/AGN|0.09|13.70|1.37|-20.76| 5546| 77.9
