Lens name	Type	Δθ (arcsec)	zs	S250μm(mJy)	S350μm(mJy)	S500μm(mJy)	Comments	References
JVAS B1938+666 	J 	1.0 	2.01 	163(7) 	164(7) 	120(10) 	 	 
PMN J2004−1349 	J 	1.18 	– 	38(7)† 	49(6)† 	28(7)† 	†Diffuse galactic emission 	 
MG J2016+112 	J 	3.52 	3.27 	81(7) 	48(6) 	<32 	 	 
WFI J2026−4536 	N 	1.34 	2.23 	460(7) 	301(7) 	162(10) 	 	 
WFI J2033−4723 	N 	2.33 	1.66 	100(7) 	84(7) 	50(11) 	 	 
CLASS B2045+265 	J 	2.74 	2.35⋆ 	<36 	<33 	<43 	 	⋆C. Fassenacht, priv. comm. 
CLASS B2108+213 	J 	4.57 	0.67 	<32 	<32 	<36 	 	 
JVAS B2114+022 	J 	1.31 	0.59 	137(7) 	108(9) 	36(9) 	Star-forming lens galaxy 	 
HE 2149−2745 	N 	1.7 	2.03 	84(7) 	77(9) 	37(9) 	 	 
CY 2201−3201 	N 	0.83 	3.9 	<37 	<30 	<44 	 	 
Q 2237+030 	N 	1.78 	1.69 	<30 	<28 	<40 	 	 
CLASS B2319+052 	J 	1.36 	– 	56(6) 	57(7) 	<33 	 	 
PSS J2322+1944 	N 	1.49 	4.12 	83(4) 	105(3) 	81(5) 	 	 
SDSS J2343−0050 	N 	1.51 	0.787 	<26 	<30 	<34 	 	Jackson, Ofek & Oguri (2008)
